Greenhouse Id, Greenhouse Name, Sensor Name, Device Id, Sensor Id, Sensor Type, Value, Timestamp (UTC), Japan Timestamp (JST)
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.986969,2018-01-12 23:30:52,2018-01-13 08:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.064539,2018-01-12 23:40:52,2018-01-13 08:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.13025,2018-01-12 23:50:52,2018-01-13 08:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.23156,2018-01-13 00:00:51,2018-01-13 09:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.204376,2018-01-13 00:10:52,2018-01-13 09:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.058311,2018-01-13 00:20:52,2018-01-13 09:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.005548,2018-01-13 00:30:52,2018-01-13 09:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.037403,2018-01-13 00:40:52,2018-01-13 09:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.012201,2018-01-13 00:50:51,2018-01-13 09:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.914164,2018-01-13 01:00:51,2018-01-13 10:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.888979,2018-01-13 01:10:52,2018-01-13 10:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.896515,2018-01-13 01:20:52,2018-01-13 10:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.804718,2018-01-13 01:30:52,2018-01-13 10:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.75167,2018-01-13 01:40:51,2018-01-13 10:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.702972,2018-01-13 01:50:51,2018-01-13 10:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.67416,2018-01-13 02:00:51,2018-01-13 11:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.628597,2018-01-13 02:10:52,2018-01-13 11:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.627827,2018-01-13 02:20:52,2018-01-13 11:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.659979,2018-01-13 02:30:52,2018-01-13 11:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.614462,2018-01-13 02:40:51,2018-01-13 11:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.58358,2018-01-13 02:50:52,2018-01-13 11:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.564173,2018-01-13 03:00:51,2018-01-13 12:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.53888,2018-01-13 03:10:51,2018-01-13 12:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.51234,2018-01-13 03:20:52,2018-01-13 12:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.434677,2018-01-13 03:30:51,2018-01-13 12:30:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.289604,2018-01-13 03:40:51,2018-01-13 12:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.213469,2018-01-13 03:50:51,2018-01-13 12:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.198559,2018-01-13 04:00:52,2018-01-13 13:00:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.165,2018-01-13 04:10:51,2018-01-13 13:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.122982,2018-01-13 04:20:51,2018-01-13 13:20:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.050888,2018-01-13 04:30:51,2018-01-13 13:30:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.03504,2018-01-13 04:40:52,2018-01-13 13:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.960388,2018-01-13 04:50:51,2018-01-13 13:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.937267,2018-01-13 05:00:51,2018-01-13 14:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.918959,2018-01-13 05:10:51,2018-01-13 14:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.823902,2018-01-13 05:20:51,2018-01-13 14:20:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.544538,2018-01-13 05:30:52,2018-01-13 14:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,16.155867,2018-01-13 05:40:51,2018-01-13 14:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,15.7664,2018-01-13 05:50:51,2018-01-13 14:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,15.281068,2018-01-13 06:00:51,2018-01-13 15:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,14.7616205,2018-01-13 06:10:51,2018-01-13 15:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,14.350534,2018-01-13 06:20:52,2018-01-13 15:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.922647,2018-01-13 06:30:51,2018-01-13 15:30:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.632929,2018-01-13 06:40:51,2018-01-13 15:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.4813,2018-01-13 06:50:51,2018-01-13 15:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.29975,2018-01-13 07:00:51,2018-01-13 16:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.192724,2018-01-13 07:10:51,2018-01-13 16:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.187684,2018-01-13 07:20:51,2018-01-13 16:20:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.219155,2018-01-13 07:30:51,2018-01-13 16:30:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.172385,2018-01-13 07:40:51,2018-01-13 16:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.259743,2018-01-13 07:50:51,2018-01-13 16:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.324064,2018-01-13 08:00:51,2018-01-13 17:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.374187,2018-01-13 08:10:51,2018-01-13 17:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.398605,2018-01-13 08:20:51,2018-01-13 17:20:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.4018545,2018-01-13 08:30:51,2018-01-13 17:30:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.466064,2018-01-13 08:40:51,2018-01-13 17:40:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.479446,2018-01-13 08:50:50,2018-01-13 17:50:50
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.46678,2018-01-13 09:00:51,2018-01-13 18:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.484248,2018-01-13 09:10:51,2018-01-13 18:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.486811,2018-01-13 09:20:51,2018-01-13 18:20:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.457284,2018-01-13 09:30:50,2018-01-13 18:30:50
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.377822,2018-01-13 09:40:50,2018-01-13 18:40:50
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.434783,2018-01-13 09:50:51,2018-01-13 18:50:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.461588,2018-01-13 10:00:51,2018-01-13 19:00:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.476591,2018-01-13 10:10:51,2018-01-13 19:10:51
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,13.471943,2018-01-13 10:20:50,2018-01-13 19:20:50
